,brand_name,shoe_type,original_price,sale_price,shoe_weight
118,Nike Performance,"['AIR ZOOM PEGASUS 37 ', ' Laufschuh Neutral ']","89,99","119,99",291 
119,adidas Performance,"['TERREX AX3 GTX ', ' Hikingschuh ']","115,95",,unknown
120,Nike Performance,"['FREE RN 5.0 ', ' Laufschuh Natural running ']","75,89","109,99",209 
121,Nike Performance,"['MERCURIAL 7 ACADEMY IC ', ' Fußballschuh Halle ']","44,99","89,99",unknown
122,Puma,"['FLYER RUNNER UNISEX ', ' Laufschuh Neutral ']","34,95","49,95",212 
123,McKinley,"['DISCOVER MID AQX M ', ' Hikingschuh ']","75,89","109,99",unknown
124,adidas Performance,"['ULTRABOOST 20 PRIMEBLUE PRIMEKNIT RUNNING SHOES ', ' Laufschuh Neutral ']","143,95","179,95",318 
125,ASICS,"['GEL CONTEND 7 ', ' Laufschuh Neutral ']","64,95",,266 
126,adidas Performance,"['TERREX AGRAVIC FLOW GORE', 'TEX TRAIL RUNNING SHOES ']","133,46","149,95",unknown
127,ASICS,"['GEL', 'MISSION 3 ']","55,00",,unknown
128,Nike Performance,"['Laufschuh Neutral ', ' black/white']","64,95",,274 
129,ASICS,"['GEL CUMULUS 22 ', ' Laufschuh Neutral ']","139,95",,265 
130,adidas Performance,"['FLUIDSTREET ', ' Trainings']","44,96","59,95",unknown
131,adidas Performance,"['RUNFALCON ', ' Laufschuh Neutral ']","44,49","49,99",unknown
132,adidas Performance,"['GALAXY  ', ' Laufschuh Neutral ']","49,95",,264 
133,Puma,"['LQDCELL METHOD ', ' Trainings']","44,99","79,99",unknown
134,ASICS,"['GEL CUMULUS ', ' Laufschuh Neutral ']","119,99","149,99",unknown
135,Nike Performance,"['VARSITY COMPETE TR 3 ', ' Trainings']","55,95","69,95",unknown
136,Nike Performance,"['FLEX EXPERIENCE RUN 9 ', ' Laufschuh Wettkampf ']","51,95","64,95",222 
137,Brütting,"['Alpin', '/Bergstiefel ']","55,73","79,95",unknown
138,Nike Performance,"['FLEX EXPERIENCE RUN 9 ', ' Laufschuh Wettkampf ']","48,45","64,95",216 
139,Nike Performance,"['DOWNSHIFTER 10 ', ' Laufschuh Neutral ']","44,95","59,95",267 
140,adidas Performance,"['RUNFALCON ', ' Laufschuh Neutral ']","44,99","49,99",274 
141,New Balance,"['FRESH FOAM CRAG ', ' Laufschuh Trail ']","71,25","95,00",unknown
142,Under Armour,"['PHANTOM ', ' Laufschuh Neutral ']","140,00",,unknown
143,ASICS,"['GEL NIMBUS 22 ', ' Laufschuh Neutral ']","143,99","179,99",328 
144,Nike Performance,"['LEGEND ESSENTIAL ', ' Trainings']","47,95","59,95",unknown
145,adidas Performance,"['TERREX FREE PARLEY ', ' Hikingschuh ']","159,95","199,95",unknown
146,Dolomite,"['Hikingschuh ', ' steel blue']","132,46","179,00",unknown
147,Kappa,"['FOLLOW OC ', ' Trainings']","29,95",,unknown
148,Lowa,"['Hikingschuh ', ' olive']","179,99",,1.110 
149,Lowa,"['GORGON GTX ', ' Hikingschuh ']","125,66","149,95",unknown
150,adidas Performance,"['TERREX SWIFT R2 GORE', 'TEX ']","118,95","139,95",unknown
151,adidas Performance,"['HOOPS 2.0 MID ', ' Sneaker high ']","47,97","64,95",unknown
152,adidas Performance,"['ULTRABOOST PRIMEKNIT RUNNING SHOES ', ' Laufschuh Neutral ']","125,95","179,95",351 
153,Under Armour,"['CHARGED IMPULSE KNIT ', ' Laufschuh Stabilität ']","55,97","80,00",unknown
154,Nike Performance,"['REVOLUTION 5 FLYEASE ', ' Laufschuh Neutral ']","38,45","54,95",318 
155,Brütting,"['Hikingschuh ', ' grau']","109,95",,unknown
156,Lowa,"['TOLEDO GTX LO ', ' Hikingschuh ']","84,99","99,99",unknown
157,Nike Performance,"['REVOLUTION 5 ', ' Laufschuh Neutral ']","49,90","55,00",306 
158,ASICS,"['GT 2000 9 ', ' Laufschuh Stabilität ']","139,95",,265 
159,adidas Performance,"['HOOPS 2.0 MID ', ' Sneaker high ']","50,66","64,95",unknown
160,Lowa,"['SIRKOS EVO GTX ', ' Hikingschuh ']","139,95",,unknown
161,Lytos,"['Hikingschuh ', ' braun']","89,95",,unknown
162,Lowa,"['RENEGADE GTX MID ', ' Hikingschuh ']","169,99","199,99",unknown
163,adidas Performance,"['TERREX SWIFT R2 HIKING SHOES ', ' Hikingschuh ']","119,94","119,95",unknown
164,adidas Performance,"['SUPERNOVA ', ' Laufschuh Neutral ']","54,95","99,95",302 
165,adidas Performance,"['ADILETTE AQUA SWIM ', ' Badesandale ']","19,95",,unknown
166,adidas Performance,"['ULTRA BOOST ', ' Laufschuh Stabilität ']","129,90","179,95",unknown
167,Nike Performance,"['METCON 6 UNISEX ', ' Trainings']","89,69","129,99",unknown
168,Nike Performance,"['REACT INFINITY RUN FLYKNIT ', ' Trainings']","110,39","159,99",unknown
169,New Balance,"['ROAV ', ' Laufschuh Neutral ']","53,95","89,95",296 
170,Puma,"['INTERFLEX RUNNER UNISEX ', ' Trainings']","34,95","49,95",unknown
171,Champion,"['CLEARWATER ', ' Badesandale ']","17,95","19,95",unknown
172,Nike Performance,"['REVOLUTION 5 ', ' Laufschuh Neutral ']","46,65","54,95",unknown
173,Quiksilver,"['BOGAN ', ' Snowboot/Winterstiefel ']","59,99","99,99",unknown
174,CMP,"['RIGEL LOW TREKKING SHOES WP ', ' Hikingschuh ']","68,95","79,95",unknown
175,Lacoste,"['Sneaker low ', ' blk/off wht']","77,00","110,00",unknown
176,ASICS,"['GT', '1000 9 ']","99,99","119,99",275 
177,Salomon,"['SPEEDCROSS 5 GTX ', ' Laufschuh Trail ']","159,95",,340 
178,Kappa,"['BRIGHT LIGHT ', ' Trekkingboot ']","31,95","39,95",unknown
179,Nike Performance,"['AIR MAX IMPACT ', ' Basketballschuh ']","58,45","89,95",unknown
180,Nike Performance,"['Laufschuh Neutral ', ' grau']","96,59","139,99",unknown
181,ASICS,"['GEL', 'ODYSSEY ']","79,99","99,99",312 
182,Mammut,"['DUCAN MID GTX ', ' Hikingschuh ']","119,99",,unknown
183,LICO,"['Hikingschuh ', ' grau']","59,95",,unknown
184,Salomon,"['SUPERCROSS BLAST GTX ', ' Laufschuh Trail ']","119,99","129,99",317 
185,Reebok,"['RIDGERIDER 6.0 ', ' Laufschuh Trail ']","47,95",,321 
186,Quiksilver,"['MISSION BOOT ', ' Snowboot/Winterstiefel ']","79,99","99,99",unknown
187,Nike Performance,"['JUNIPER ', ' Laufschuh Trail ']","79,95",,276 
188,adidas Performance,"['ULTRABOOST DNA PRIMEBLUE PRIMEKNIT RUNNING ', ' Sneaker low ']","154,95",,unknown
189,Reebok,"['WORK N CUSHION 4.0 ', ' Walkingschuh ']","47,95",,316 
190,Lacoste Sport,"['Trainings', '/Fitnessschuh ']","84,00","120,00",unknown
191,Nike Performance,"['AIR ZOOM PEGASUS 37 ', ' Laufschuh Neutral ']","119,95",,289 
192,Hummel,"['AERO TEAM ', ' Handballschuh ']","38,95","59,95",unknown
193,Saucony,"['RIDE 13 ', ' Laufschuh Neutral ']","111,95","139,95",292 
194,adidas Performance,"['SUPERNOVA ', ' Laufschuh Neutral ']","54,95","99,95",360 
195,adidas Performance,"['ADILETTE AQUA SWIM ', ' Badesandale ']","17,99","19,99",unknown
196,New Balance,"['SHANDO ', ' Laufschuh Trail ']","72,00","90,00",unknown
197,Nike Performance,"['COURT AIR MAX VAPOR WING MS ', ' Multicourt Tennisschuh ']","52,45","69,95",unknown
198,Lowa,"['BOSCO GTX ', ' Hikingschuh ']","160,00",,unknown
199,KangaROOS,"['BLUERUN ', ' Sneaker low ']","39,95",,unknown
200,adidas Performance,"['TERREX FREE HIKER PARLEY BOOST ', ' Hikingschuh ']","170,00","199,95",unknown
201,adidas Performance,"['FLUIDSTREET ', ' Trainings']","44,95","59,95",unknown
202,Nike Performance,"['REVOLUTION 5 ', ' Laufschuh Neutral ']","43,95","54,95",272 
203,adidas Performance,"['ASWEETRAIN ', ' Trainings']","64,95",,unknown
204,Merrell,"['VAPOR GLOVE 4 ', ' Laufschuh Natural running ']","69,95","99,95",162 
205,Nike Performance,"['LEGEND ESSENTIAL 2 ', ' Trainings']","59,95",,unknown
206,New Balance,"['ML574D ', ' Sneaker low ']","55,92","99,95",unknown
207,Nike Performance,"['WILDHORSE 6 ', ' Laufschuh Trail ']","119,95",,289 
208,adidas Performance,"['FITBOUNCE VERSATILITY BOUNCE TRAINING SHOES ', ' Trainings']","55,95","79,95",unknown
209,ASICS,"['PATRIOT 12 ', ' Laufschuh Neutral ']","59,95",,253 
210,Nike Performance,"['AIR ZOOM PEGASUS 37 ', ' Laufschuh Neutral ']","119,95",,266 
211,Nike Performance,"['MERCURIAL 7 ACADEMY SG', 'PRO AC ']","44,99","94,99",unknown
212,adidas Performance,"['TERREX EASTRAIL GORE', 'TEX ']","94,80","99,99",unknown
213,Nike Performance,"['AIR ZOOM PEGASUS ', ' Laufschuh Stabilität ']","89,95","119,95",283 
214,adidas Performance,"['SOLAR GLIDE BOOST SHOES ', ' Laufschuh Neutral ']","97,95","139,95",309 
215,Nike Performance,"['REAX 8  ', ' Trainings']","80,70","84,95",unknown
216,Puma,"['SOFTRIDE RIFT ', ' Laufschuh Neutral ']","41,95","64,95",270 
217,adidas Performance,"['ULTRABOOST 20 PRIMEKNIT RUNNING SHOES ', ' Laufschuh Neutral ']","179,95",,334 
218,Nike Performance,"['QUEST 3 ', ' Laufschuh Neutral ']","73,89","74,99",252 
219,adidas Performance,"['DURAMO ', ' Laufschuh Neutral ']","44,90","54,95",256 
220,Under Armour,"['CHARGED PURSUIT 2 ', ' Laufschuh Neutral ']","53,95","59,95",278 
221,adidas Performance,"['Sneaker low ', ' schwarz']","59,95",,unknown
222,Brütting,"['Hikingschuh ', ' grau']","99,90",,unknown
223,Jordan,"['ONE TAKE II ', ' Basketballschuh ']","99,95",,unknown
224,adidas Performance,"['PREDATOR 20.3 FOOTBALL SHOES INDOOR ', ' Fußballschuh Halle ']","59,95","99,95",unknown
225,Nike Performance,"['RUNALLDAY 2 ', ' Laufschuh Neutral ']","45,45","64,95",277 
226,Nike Performance,"['DOWNSHIFTER 10 ', ' Laufschuh Neutral ']","39,90","60,00",259 
227,ASICS,"['GEL', 'SILEO 2 ']","69,95",,306 
228,Kappa,"['MONTEBA ', ' Trainings']","39,95",,unknown
229,Tommy Hilfiger,"['SPORT 2 ', ' Trainings']","89,95",,unknown
